GameID,GameDate,Time,AwayTeam,AwayAbbrev,AwayPoints,HomeTeam,HomeAbbrev,HomePoints,Overtime,Attendance,LOG,Arena,SeasonID,Notes
20101201_ATLVMEM,12/1/2010,19:00,Memphis Grizzlies,MEM,109,Atlanta Hawks,ATL,112,,11513,2:25,Philips Arena,2010-11,
20101201_NJNVOKC,12/1/2010,19:00,Oklahoma City Thunder,OKC,123,New Jersey Nets,NJN,120,3OT,13108,3:21,Prudential Center,2010-11,
20101201_TORVWAS,12/1/2010,19:00,Washington Wizards,WAS,108,Toronto Raptors,TOR,127,,15209,2:17,Air Canada Centre,2010-11,
20101201_BOSVPOR,12/1/2010,19:30,Portland Trail Blazers,POR,95,Boston Celtics,BOS,99,,18624,2:21,TD Garden,2010-11,
20101201_MIAVDET,12/1/2010,19:30,Detroit Pistons,DET,72,Miami Heat,MIA,97,,19600,2:03,AmericanAirlines Arena,2010-11,
20101201_CHIVORL,12/1/2010,20:00,Orlando Magic,ORL,107,Chicago Bulls,CHI,78,,21435,2:14,United Center,2010-11,
20101201_NOHVCHA,12/1/2010,20:00,Charlotte Bobcats,CHA,73,New Orleans Hornets,NOH,89,,10866,2:13,New Orleans Arena,2010-11,
20101201_DALVMIN,12/1/2010,20:30,Minnesota Timberwolves,MIN,86,Dallas Mavericks,DAL,100,,19567,2:07,American Airlines Center,2010-11,
20101201_HOUVLAL,12/1/2010,20:30,Los Angeles Lakers,LAL,99,Houston Rockets,HOU,109,,18116,2:14,Toyota Center,2010-11,
20101201_DENVMIL,12/1/2010,21:00,Milwaukee Bucks,MIL,94,Denver Nuggets,DEN,105,,14221,2:20,Pepsi Center,2010-11,
20101201_UTHVIND,12/1/2010,21:00,Indiana Pacers,IND,88,Utah Jazz,UTH,110,,18732,2:05,EnergySolutions Arena,2010-11,
20101201_LACVSAS,12/1/2010,22:30,San Antonio Spurs,SAS,85,Los Angeles Clippers,LAC,90,,16584,2:20,STAPLES Center,2010-11,
20101202_CLEVMIA,12/2/2010,20:00,Miami Heat,MIA,118,Cleveland Cavaliers,CLE,90,,20562,2:34,Quicken Loans Arena,2010-11,
20101202_GSWVPHO,12/2/2010,22:30,Phoenix Suns,PHO,107,Golden State Warriors,GSW,101,,18328,2:21,Oracle Arena,2010-11,
20101203_CHAVNJN,12/3/2010,19:00,New Jersey Nets,NJN,84,Charlotte Bobcats,CHA,91,OT,12183,2:41,Time Warner Cable Arena,2010-11,
20101203_TORVOKC,12/3/2010,19:00,Oklahoma City Thunder,OKC,99,Toronto Raptors,TOR,111,,16774,2:14,Air Canada Centre,2010-11,
20101203_WASVPOR,12/3/2010,19:00,Portland Trail Blazers,POR,79,Washington Wizards,WAS,83,,13408,2:20,Verizon Center,2010-11,
20101203_ATLVPHI,12/3/2010,19:30,Philadelphia 76ers,PHI,88,Atlanta Hawks,ATL,93,,12140,2:12,Philips Arena,2010-11,
20101203_DETVORL,12/3/2010,19:30,Orlando Magic,ORL,104,Detroit Pistons,DET,91,,18433,2:11,The Palace of Auburn Hills,2010-11,
20101203_BOSVCHI,12/3/2010,20:00,Chicago Bulls,CHI,92,Boston Celtics,BOS,104,,18624,2:30,TD Garden,2010-11,
20101203_MEMVHOU,12/3/2010,20:00,Houston Rockets,HOU,127,Memphis Grizzlies,MEM,111,,14577,2:11,FedEx Forum,2010-11,
20101203_NOHVNYK,12/3/2010,20:00,New York Knicks,NYK,100,New Orleans Hornets,NOH,92,,14020,2:11,New Orleans Arena,2010-11,
20101203_SASVMIN,12/3/2010,20:30,Minnesota Timberwolves,MIN,101,San Antonio Spurs,SAS,107,,18581,2:22,AT&T Center,2010-11,
20101203_DENVLAC,12/3/2010,21:00,Los Angeles Clippers,LAC,104,Denver Nuggets,DEN,109,,15829,2:42,Pepsi Center,2010-11,
20101203_PHOVIND,12/3/2010,21:00,Indiana Pacers,IND,97,Phoenix Suns,PHO,105,,16991,2:21,US Airways Center,2010-11,
20101203_LALVSAC,12/3/2010,22:30,Sacramento Kings,SAC,80,Los Angeles Lakers,LAL,113,,18997,2:11,STAPLES Center,2010-11,
20101203_UTHVDAL,12/3/2010,22:30,Dallas Mavericks,DAL,93,Utah Jazz,UTH,81,,19623,2:19,EnergySolutions Arena,2010-11,
20101204_MIAVATL,12/4/2010,19:30,Atlanta Hawks,ATL,77,Miami Heat,MIA,89,,19600,2:09,AmericanAirlines Arena,2010-11,
20101204_PHIVCHA,12/4/2010,19:30,Charlotte Bobcats,CHA,91,Philadelphia 76ers,PHI,109,,14611,2:12,Wells Fargo Center,2010-11,
20101204_CHIVHOU,12/4/2010,20:00,Houston Rockets,HOU,116,Chicago Bulls,CHI,119,OT,21232,2:29,United Center,2010-11,
20101204_MINVCLE,12/4/2010,20:00,Cleveland Cavaliers,CLE,95,Minnesota Timberwolves,MIN,129,,14422,2:08,Target Center,2010-11,
20101204_MILVORL,12/4/2010,20:30,Orlando Magic,ORL,85,Milwaukee Bucks,MIL,96,,16218,2:19,Bradley Center,2010-11,
20101204_SACVDAL,12/4/2010,22:00,Dallas Mavericks,DAL,105,Sacramento Kings,SAC,103,,12900,2:18,Power Balance Pavilion,2010-11,
20101205_NJNVBOS,12/5/2010,13:00,Boston Celtics,BOS,100,New Jersey Nets,NJN,75,,16196,2:11,Prudential Center,2010-11,
20101205_TORVNYK,12/5/2010,13:00,New York Knicks,NYK,116,Toronto Raptors,TOR,99,,16891,2:08,Air Canada Centre,2010-11,
20101205_DETVCLE,12/5/2010,18:00,Cleveland Cavaliers,CLE,92,Detroit Pistons,DET,102,,13081,2:17,The Palace of Auburn Hills,2010-11,
20101205_OKCVGSW,12/5/2010,19:00,Golden State Warriors,GSW,109,Oklahoma City Thunder,OKC,114,,18203,2:26,Chesapeake Energy Arena,2010-11,
20101205_SASVNOH,12/5/2010,19:00,New Orleans Hornets,NOH,84,San Antonio Spurs,SAS,109,,17571,2:03,AT&T Center,2010-11,
20101205_DENVMEM,12/5/2010,20:00,Memphis Grizzlies,MEM,107,Denver Nuggets,DEN,108,,15017,2:20,Pepsi Center,2010-11,
20101205_PHOVWAS,12/5/2010,20:00,Washington Wizards,WAS,108,Phoenix Suns,PHO,125,,17430,2:13,US Airways Center,2010-11,
20101205_PORVLAC,12/5/2010,21:00,Los Angeles Clippers,LAC,91,Portland Trail Blazers,POR,100,,20139,2:41,Rose Garden Arena,2010-11,
